en,es
"So, like we usually do, I decided to do a simple experiment.And here's how it went.If you were in the experiment, I would pass you a sheet of paper with 20 simple math problems that everybody could solve, but I wouldn't give you enough time.When the five m","As que, como normalmente lo hacemos, decid hacer un experimento simple.Y aqu es cómo fue.Si estaban en el experimento, les pasaba una hoja de papel con 20 problemas matemáticos simples que todo el mundo poda resolver, pero no les dara suficiente tiempo.Cuando los cinco m"
Other people I would tempt to cheat.,Otras personas a las que yo tuviera a engaar.
"I would pass their sheet of paper.When the five minutes were over, I would say, ""Please shred the piece of paper.Put the little pieces in your pocket or in your backpack, and tell me how many questions you got correctly.""","Aprendera su hoja de papel.Cuando terminaron los cinco minutos, dira: ""Por favor, huyen la hoja de papel.Pongen las pequeas piezas en tu bolsillo o en tu hoja, y me dicen cuántas preguntas te obtuvieron correctamente""."
People now solved seven questions on average.,La gente ahora resuelve siete preguntas en promedio.
"Now, it wasn't as if there was a few bad apples -- a few people cheated a lot.","Ahora, no fue como si hubiera unas pocas manzanas malas, unas pocas personas engaaron mucho."
"Instead, what we saw is a lot of people who cheat a little bit.","En cambio, vimos mucha gente que engaa un poco."
"Now, in economic theory, cheating is a very simple cost-benefit analysis.","En la teora económica, la trampa es un análisis muy simple de costo-beneficio."
"You say, what's the probability of being caught?",Cuál es la probabilidad de ser capturado?
How much do I stand to gain from cheating?,Cuánto podra ganar de la engaa?
And how much punishment would I get if I get caught?,Y cuánto castigara si me atrapa?
"And you weigh these options out -- you do the simple cost-benefit analysis, and you decide whether it's worthwhile to commit the crime or not.So, we try to test this.For some people, we varied how much money they could get away with -- how much money they ","Y uno pesa estas opciones, hace el simple análisis costo-beneficio, y decide si vale la pena cometer o no el crimen.Entonces tratamos de probarlo.Para algunas personas, variamos cuánto dinero podran salir, cuánto dinero podran salir."
What about the probability of being caught?,Qué pasa con la probabilidad de ser capturada?
"Some people shredded half the sheet of paper, so there was some evidence left.","Algunas personas dejaron la mitad de la hoja de papel, as que quedaba algunas evidencias."
"Some people shredded the whole sheet of paper.Some people shredded everything, went out of the room, and paid themselves from the bowl of money that had over 100 dollars.You would expect that as the probability of being caught goes down, people would cheat","Algunas personas destruyeron toda la hoja de papel.Algunas personas destruyeron todo, saliron de la habitación y se pagaron por el bolsillo de dinero que tena más de 100 dólares.Esperaran que a medida que la probabilidad de ser capturada baja, la gente engaaba."
"Again, a lot of people cheated by just by a little bit, and they were insensitive to these economic incentives.","De nuevo, mucha gente engaó solo un poco, y eran insensibles a estos incentivos económicos."
"So we said, ""If people are not sensitive to the economic rational theory explanations, to these forces, what could be going on?""And we thought maybe what is happening is that there are two forces.At one hand, we all want to look at ourselves in the mirror ","As que dimos: ""Si la gente no es sensible a las explicaciones teóricas racionales económicas, a estas fuerzas, qué podra pasar?""Y pensamos que tal vez lo que está pasando es que hay dos fuerzas.A una mano, todos queremos mirarnos en el espejo."
We call this like a personal fudge factor.,Esto lo llamamos como un factor de esquina personal.
"Now, how would you test a personal fudge factor?","Ahora, cómo probaras un factor de esquina personal?"
"Initially we said, what can we do to shrink the fudge factor?So, we got people to the lab, and we said, ""We have two tasks for you today.""First, we asked half the people to recall either 10 books they read in high school, or to recall The Ten Commandments,","Inicialmente decamos, qué podemos hacer para reducir el factor de esquina?As que llevaron a la gente al laboratorio y decamos, ""Hoy tenemos dos tareas para ti"".Primero, pedimos a la mitad de la gente que recorda 10 libros que lean en la secundaria, o de recordar Los Dio Commandments,"
"It wasn't that the more religious people -- the people who remembered more of the Commandments -- cheated less, and the less religious people -- the people who couldn't remember almost any Commandments -- cheated more.The moment people thought about trying","No fue que cuando la gente más religiosa, la gente que recordó más de los Comandaments, encajó menos, y cuando la gente menos religiosa, la gente que no recordó casi ningn Comandamento, encajó más.En el momento en que la gente pensó en intentarlo."
"Now, Ten Commandments is something that is hard to bring into the education system, so we said, ""Why don't we get people to sign the honor code?""So, we got people to sign, ""I understand that this short survey falls under the MIT Honor Code.""Then they shred","Ahora, los Dios Mandatos son algo que es difcil de llevar al sistema educativo, as que dimos: ""Por qué no llevamos a la gente a signar el código de honor?""As que llevamos a la gente a signar: ""Entiendo que esta corta encuesta está bajo el código de Honor del MIT"".Luego salidan."
" So, all this was about decreasing the fudge factor.What about increasing the fudge factor?The first experiment -- I walked around MIT and I distributed six-packs of Cokes in the refrigerators -- these were common refrigerators for the undergrads.And I cam","As que todo esto se trataba de disminuir el factor de agujera.Qué pasa con aumentar el factor de agujera?El primer experimento, caminé por el MIT y distribu seis paquetes de coches en los refrigeradores, estos eran refrigeradores comunes para los subgrados."
"As you can expect it doesn't last very long; people take it.In contrast, I took a plate with six one-dollar bills, and I left those plates in the same refrigerators.No bill ever disappeared.Now, this is not a good social science experiment, so to do it bet","Como pueden esperar que no dura mucho tiempo; la gente lo toma.En contraste, tomé una plata con seis billetes de un dólar, y dejé esas platas en los mismos refrigeradores.Ninguna plata nunca desapareció.Esto no es un buen experimento de ciencia social, as que para hacerlo apuesto."
"Our subjects doubled their cheating.I'll tell you what I think about this and the stock market in a minute.But this did not solve the big problem I had with Enron yet, because in Enron, there's also a social element.People see each other behaving.In fact, ","Nuestros sujetos duplicaron sus engaos.Les diré lo que pienso sobre esto y la börsa de valores en un minuto.Pero esto no resuelve el gran problema que todava tena con Enron, porque en Enron también hay un elemento social.La gente se ve comportando entre s.De hecho, en Enron, hay un elemento social."
"The same thing happens.When we give people the opportunity to cheat, they cheat.They cheat just by a little bit, all the same.But in this experiment we also hired an acting student.This acting student stood up after 30 seconds, and said, ""I solved everythi","Lo mismo sucede.Cuando le damos a la gente la oportunidad de hacer trampa, hacen trampa.También hacen trampa un poco, todo lo mismo.Pero en este experimento también contratamos a un estudiante de actuación.Este estudiante de actuación se levantó después de 30 segundos y dijo: ""Resuelve a todithi."
"The task is finished.""","La tarea está terminada""."
"So, now we had a student -- an acting student -- that was a part of the group.Nobody knew it was an actor.And they clearly cheated in a very, very serious way.What would happen to the other people in the group?","As que, ahora tenamos un estudiante, un estudiante de actuación, que era parte del grupo.Nadie saba que era actor, y claramente engaaron de una manera muy, muy seria.Qué pasara con las otras personas del grupo?"
"Will they cheat more, or will they cheat less?","Te engaan más, o menos engaan?"
"Here is what happens.It turns out it depends on what kind of sweatshirt they're wearing.Here is the thing.We ran this at Carnegie Mellon and Pittsburgh.And at Pittsburgh there are two big universities, Carnegie Mellon and University of Pittsburgh.All of th","Esto es lo que sucede.Resulta que depende de qué tipo de camiseta están usando.Esto es lo que hicimos.Hicimos esto en Carnegie Mellon y Pittsburgh.Y en Pittsburgh hay dos grandes universidades, Carnegie Mellon y la Universidad de Pittsburgh.Todo eso depende de qué tipo de camiseta están usando."
"So, what have we learned from this about cheating?We've learned that a lot of people can cheat.They cheat just by a little bit.When we remind people about their morality, they cheat less.When we get bigger distance from cheating, from the object of money, ","Entonces, qué hemos aprendido de esto acerca de la trampa?Hemos aprendido que mucha gente puede trampa.Simplemente trampa un poco.Cuando recordamos a la gente su moralidad, trampa menos.Cuando nos distanciamos más de la trampa, del objeto del dinero,"
"You call them stock, or stock options, derivatives, mortgage-backed securities.","Los llaman acciones, o opciones de acción, derivados, valores propiedadas por hipoteca."
"Could it be that with those more distant things, it's not a token for one second, it's something that is many steps removed from money for a much longer time -- could it be that people will cheat even more?","Podra ser que con esas cosas más distantes, no es una ficha por un segundo, es algo que se levanta muchos pasos del dinero por mucho tiempo, podra ser que la gente engaa an más?"
"And what happens to the social environment when people see other people behave around them?I think all of those forces worked in a very bad way in the stock market.More generally, I want to tell you something about behavioral economics.We have many intuiti",Y qué pasa con el entorno social cuando la gente vea que otras personas se comportan alrededor?Creo que todas esas fuerzas funcionaron de una manera muy mala en la börsa de valores.Más generalmente quiero contarles algo sobre la economa del comportamiento.Tenemos muchas intuitivas.
"And she said maybe part of the reason was it was difficult for her.But it was actually more interesting than that, because she said, ""I did not think that your intuition was right.I felt my intuition was correct.""","Y ella dijo que quizá parte de la razón era que era difcil para ella.Pero en realidad era más interesante que eso, porque dijo: ""No cre que tu intuición era correcta, sent que mi intuición era correcta""."
"So, if you think about all of your intuitions, it's very hard to believe that your intuition is wrong.","As que, si piensas en todas sus intuiciones, es muy difcil creer que tu intuición está equivocada."
"And she said, ""Given the fact that I thought my intuition was right ..."" -- she thought her intuition was right -- it was very difficult for her to accept doing a difficult experiment to try and check whether she was wrong.But in fact, this is the situatio","Y ella dijo: ""Divido el hecho de que pensaba que mi intuición era correcta..."" -- pensaba que su intuición era correcta -- fue muy difcil para ella aceptar hacer un experimento difcil tratar de verificar si estaba mal.Pero de hecho, este es el situio."
There is nothing bigger or older than the universe.,No hay nada más grande o más vieja que el universo.
"The questions I would like to talk about are: one, where did we come from?","Las preguntas de las que me gustara hablar son: una, de dónde venimos?"
How did the universe come into being?,Cómo entró el universo?
Are we alone in the universe?,Estamos solos en el universo?
Is there alien life out there?,Hay vida aliengena ah?
What is the future of the human race?,Cuál es el futuro de la raza humana?
"Up until the 1920s, everyone thought the universe was essentially static and unchanging in time.","Hasta los aos 1920, todos pensaban que el universo era esencialmente estático y sin cambio en el tiempo."
Then it was discovered that the universe was expanding.,Después se descubrió que el universo se estaba expandiendo.
Distant galaxies were moving away from us.,Galaxias distantes se alejaron de nosotros.
This meant they must have been closer together in the past.,Esto significaba que deban haber estado más cerca en el pasado.
"If we extrapolate back, we find we must have all been on top of each other about 15 billion years ago.","Si extrapolamos de nuevo, encontramos que debemos haber estado unos a otros hace unos 15 mil millones de aos."
"This was the Big Bang, the beginning of the universe.","Este fue el Big Bang, el comienzo del universo."
But was there anything before the Big Bang?,Pero hay algo antes del Big Bang?
"If not, what created the universe?","Si no, qué crearon el universo?"
Why did the universe emerge from the Big Bang the way it did?,Por qué el universo surgió del Big Bang como lo hizo?
We used to think that the theory of the universe could be divided into two parts.,Solamos pensar que la teora del universo poda ser dividida en dos partes.
"First, there were the laws like Maxwell's equations and general relativity that determined the evolution of the universe, given its state over all of space at one time.","Primero, haba las leyes como las ecuaciones de Maxwell y la relatividad general que determinaban la evolución del universo, dado su estado en todo el espacio en un momento."
"And second, there was no question of the initial state of the universe.We have made good progress on the first part, and now have the knowledge of the laws of evolution in all but the most extreme conditions.But until recently, we have had little idea abou","Y segundo, no haba duda del estado inicial del universo.Hemos progresado bien en la primera parte, y ahora tenemos el conocimiento de las leyes de la evolución en todas las condiciones más extremas.Pero hasta recientemente, hemos tenido pequea idea de abou."
"However, this division into laws of evolution and initial conditions depends on time and space being separate and distinct.","Sin embargo, esta división en leyes de evolución y condiciones iniciales depende de que el tiempo y el espacio están separados y distintos."
"Under extreme conditions, general relativity and quantum theory allow time to behave like another dimension of space.This removes the distinction between time and space, and means the laws of evolution can also determine the initial state.The universe can ","Bajo condiciones extremas, la relatividad general y la teora cuántica permiten que el tiempo se comporte como otra dimension del espacio.Esto elimina la distinción entre el tiempo y el espacio y significa que las leyes de la evolución también pueden determinar el estado inicial.El universo puede comportarse como otra dimensione del espacio."
"Moreover, we can calculate a probability that the universe was created in different states.","Además, podemos calcular una probabilidad de que el universo fue creado en diferentes estados."
"These predictions are in excellent agreement with observations by the WMAP satellite of the cosmic microwave background, which is an imprint of the very early universe.","Estas predicciones están en un excelente acuerdo con las observaciones del satélite WMAP del fondo cósmico de microondas, que es una impresión del universo temprano."
We think we have solved the mystery of creation.,Creemos que hemos resolvedo el misterio de la creación.
Maybe we should patent the universe and charge everyone royalties for their existence.,Tal vez deberamos patentar el universo y cargar a todos los regalos por su existencia.
"I now turn to the second big question: are we alone, or is there other life in the universe?","Ahora voy a la segunda gran pregunta: estamos solos, o hay otra vida en el universo?"
"We believe that life arose spontaneously on the Earth, so it must be possible for life to appear on other suitable planets, of which there seem to be a large number in the galaxy.","Creemos que la vida se ocurrió espontáneamente en la Tierra, as que debe ser posible que la vida aparece en otros planetas apropiados, de los cuales parece haber un gran nmero en la galaxia."
But we don't know how life first appeared.,Pero no sabemos cómo apareca la vida por primera vez.
We have two pieces of observational evidence on the probability of life appearing.,Tenemos dos evidencias observativas sobre la probabilidad de aparecer la vida.
The first is that we have fossils of algae from 3.5 billion years ago.,"La primera es que tenemos fósiles de algas de hace 3,5 mil millones de aos."
The Earth was formed 4.6 billion years ago and was probably too hot for about the first half billion years.,"La Tierra se formaron hace 4,6 mil millones de aos y probablemente fue demasiado calor durante los primeros medio mil millones de aos."
"So life appeared on Earth within half a billion years of it being possible, which is short compared to the 10-billion-year lifetime of a planet of Earth type.","As que la vida apareca en la Tierra en medio mil millones de aos de ser posible, lo que es corto comparado con la vida de 10 mil millones de aos de un planeta de tipo Tierra."
This suggests that the probability of life appearing is reasonably high.,Esto sugiere que la probabilidad de aparecer la vida es razonablemente alta.
"If it was very low, one would have expected it to take most of the ten billion years available.","Si fuera muy bajo, se habra esperado que llevara la mayor parte de los 10 mil millones de aos disponibles."
"On the other hand, we don't seem to have been visited by aliens.I am discounting the reports of UFOs.Why would they appear only to cranks and weirdos?","Por otro lado, parece que no hemos sido visitados por extraterrestres.Estoy aprendiendo los informes de UFOs.Por qué pareceran sólo a giros y extraos?"
"If there is a government conspiracy to suppress the reports and keep for itself the scientific knowledge the aliens bring, it seems to have been a singularly ineffective policy so far.Furthermore, despite an extensive search by the SETI project, we haven't","Si hay una conspiración del gobierno para suprimir los informes y mantener por s mismo el conocimiento cientfico que traen los extraterrestres, parece haber sido una poltica singularmente ineficaz hasta ahora.De acuerdo, a pesar de una bsqueda extensiva por el proyecto SETI, no hemos sido."
Issuing an insurance policy against abduction by aliens seems a pretty safe bet.,La emitición de una póldoja de asegura contra la esclavitud por aliengenas parece una apuesta bastante segura.
This brings me to the last of the big questions: the future of the human race.,Esto me lleva a la ltima de las grandes preguntas: el futuro de la raza humana.
"If we are the only intelligent beings in the galaxy, we should make sure we survive and continue.","Si somos los nicos seres inteligentes de la galaxia, deberamos asegurarnos de sobrevivir y continuar."
But we are entering an increasingly dangerous period of our history.,Pero estamos entrando en un perodo cada vez más peligroso de nuestra historia.
"Our population and our use of the finite resources of planet Earth are growing exponentially, along with our technical ability to change the environment for good or ill.","Nuestra población y nuestro uso de los recursos finitos del planeta Tierra están creciendo exponencialmente, junto con nuestra habilidad técnica para cambiar el entorno por bien o mal."
But our genetic code still carries the selfish and aggressive instincts that were of survival advantage in the past.,Pero nuestro código genético todava tiene los instintos egostas y agresivos que fueron la ventaja de supervivencia en el pasado.
"It will be difficult enough to avoid disaster in the next hundred years, let alone the next thousand or million.","Será lo suficientemente difcil evitar el desastre en los próximos cien aos, sin embargo en los próximos miles o millones."
"Our only chance of long-term survival is not to remain inward-looking on planet Earth, but to spread out into space.",Nuestra nica posibilidad de supervivencia a largo plazo no es permanecer en el entorno en el planeta Tierra sino expandirse hacia el espacio.
The answers to these big questions show that we have made remarkable progress in the last hundred years.,Las respuestas a estas grandes preguntas muestran que hemos progresado notable en los ltimos cien aos.
"But if we want to continue beyond the next hundred years, our future is in space.","Pero si queremos continuar más allá de los próximos cien aos, nuestro futuro está en el espacio."
"That is why I am in favor of manned -- or should I say,  personned -- space flight.","Por eso estoy en favor del vole espacial pilotado, o debera decir, personado."
"All of my life I have sought to understand the universe and find answers to these questions.I have been very lucky that my disability has not been a serious handicap.Indeed, it has probably given me more time than most people to pursue the quest for knowle","Toda mi vida he buscado entender el universo y encontrar respuestas a estas preguntas.He sido muy suerte de que mi discapacidad no ha sido un grave discapacidad.De hecho, probablemente me ha dado más tiempo que la mayora de las personas para perseguir la bsqueda de conocimiento."
Thank you for listening.,Gracias por escuchar.
"Chris Anderson: Professor, if you had to guess either way, do you now believe that it is more likely than not that we are alone in the Milky Way, as a civilization of our level of intelligence or higher?","Chris Anderson: Profesor, si tuvieras que adivinar de cada manera, crees que es más probable que no estamos solos en la Via Láctea, como civilización de nuestro nivel de inteligencia o más alto?"
"This answer took seven minutes, and really gave me an insight into the incredible act of generosity this whole talk was for TED.","Esta respuesta tomó siete minutos, y realmente me dio una idea del increble acto de generosidad que toda esta charla era para TED."
Stephen Hawking: I think it quite likely that we are the only civilization within several hundred light years; otherwise we would have heard radio waves.,Stephen Hawking: Creo que es bastante probable que somos la nica civilización en varios cientos de aos luz; de lo contrario habramos escuchado ondas de radio.
"The alternative is that civilizations don't last very long, but destroy themselves.","La alternativa es que las civilizaciones no duran mucho tiempo, sino que se destruyen a s mismas."
"CA: Professor Hawking, thank you for that answer.","CA: El profesor Hawking, gracias por esa respuesta."
"We will take it as a salutary warning, I think, for the rest of our conference this week.Professor, we really thank you for the extraordinary effort you made to share your questions with us today.Thank you very much indeed.","Lo tomaremos como una avertición saludable, creo, durante el resto de nuestra conferencia esta semana.Profesor, realmente gracias por el extraordinario esfuerzo que hiciste para compartir sus preguntas con nosotros hoy.Muchas gracias."
This is a man-made forest.,Este es un bosque de hombre.
"It can spread over acres and acres of area, or it could fit in a small space -- as small as your house garden.","Puede expandirse en áreas y áreas de área, o puede ajustarse en un espacio pequeo, tan pequeo como el jardn de su casa."
Age of this forest is just two years old.,La edad de este bosque tiene solo dos aos.
I have a forest in the backyard of my own house.,Tengo un bosque en el patio de mi propia casa.
It attracts a lot of biodiversity.,Atrae mucha biodiversidad.
" I wake up to this every morning, like a Disney princess. I am an entrepreneur who facilitates the making of these forests professionally.We have helped factories, farms, schools, homes, resorts, apartment buildings, public parks and even a zoo to have one","Me desperté de esto todas las maanas, como una princesa de Disney.Soy un empresario que facilita la fabricación de estos bosques profesionalmente.Hemos ayudado a fábricas, granjas, escuelas, hogars, resortes, edificios de apartamentos, parques pblicos e incluso un zooo para tener uno."
A forest is not an isolated piece of land where animals live together.,Un bosque no es una tierra aislada donde los animales viven juntos.
A forest can be an integral part of our urban existence.,Un bosque puede ser parte integral de nuestra existencia urbana.
"A forest, for me, is a place so dense with trees that you just can't walk into it.","Un bosque, para m, es un lugar tan denso con árboles que no puedes entrar en él."
It doesn't matter how big or small they are.,No importa cuán grandes o pequeos son.
Most of the world we live in today was forest.,La mayor parte del mundo en el que vivimos hoy era bosque.
This was before human intervention.,Esto fue antes de la intervención humana.
"Then we built up our cities on those forests, like São Paulo, forgetting that we belong to nature as well, as much as 8.4 million other species on the planet.","Luego construimos nuestras ciudades en esos bosques, como So Paulo, olvidando que también pertenecemos a la naturaleza, hasta 8,4 millones de otras especies en el planeta."
Our habitat stopped being our natural habitat.,Nuestro hábitat dejó de ser nuestro hábitat natural.
But not anymore for some of us.,Pero ya no para algunos de nosotros.
A few others and I today make these forests professionally -- anywhere and everywhere.,"Unos pocos otros y yo hoy hacemos estos bosques profesionalmente, en cualquier lugar y en todas partes."
I'm an industrial engineer.,Soy ingeniero industrial.
I specialize in making cars.,Me especiala en la fabricación de autos.
"In my previous job at Toyota, I learned how to convert natural resources into products.","En mi trabajo anterior en Toyota, aprend a convertir los recursos naturales en productos."
"To give you an example, we would drip the sap out of a rubber tree, convert it into raw rubber and make a tire out of it -- the product.","Para darles un ejemplo, arrojaramos la salida de un árbol de cavás, la convertiramos en cavás crudo y hacer un tino de él, el producto."
But these products can never become a natural resource again.,Pero estos productos nunca se vuelven un recurso natural otra vez.
We separate the elements from nature and convert them into an irreversible state.,Separamos los elementos de la naturaleza y los convertimos en un estado irreversible.
That's industrial production.,Eso es la producción industrial.
"Nature, on the other hand, works in a totally opposite way.The natural system produces by bringing elements together, atom by atom.All the natural products become a natural resource again.","La naturaleza, por otro lado, funciona de una manera totalmente opuesta.El sistema natural produce uniendo elementos, átomo por átomo.Todos los productos naturales se convierten en un recurso natural de nuevo."
This is something which I learned when I made a forest in the backyard of my own house.,Esto es algo que aprend cuando hice un bosque en el patio de mi propia casa.
"And this was the first time I worked with nature, rather than against it.","Y fue la primera vez que trabajé con la naturaleza, en lugar de contra ella."
"Since then, we have made 75 such forests in 25 cities across the world.","Desde entonces, hemos hecho 75 bosques en 25 ciudades de todo el mundo."
"Every time we work at a new place, we find that every single element needed to make a forest is available right around us.","Cada vez que trabajamos en un nuevo lugar, encontramos que cada elemento necesario para hacer un bosque está disponible justo alrededor de nosotros."
All we have to do is to bring these elements together and let nature take over.,Todo lo que tenemos que hacer es reunir estos elementos y dejar que la naturaleza toma el control.
To make a forest we start with soil.,Para hacer un bosque empezamos con el suelo.
"We touch, feel and even taste it to identify what properties it lacks.","Lo tocamos, lo sentimos e incluso lo gustamos para identificar las propiedades que falta."
"If the soil is made up of small particles it becomes compact -- so compact, that water cannot seep in.","Si el suelo está compuesto de partculas pequeas se vuelve compacto, tan compacto que el agua no puede entrar."
"We mix some local biomass available around, which can help soil become more porous.","Mezclamos una biomasa local disponible alrededor, lo que puede ayudar a que el suelo se vuelve más poroso."
Water can now seep in.,Ahora el agua puede entrar.
"If the soil doesn't have the capacity to hold water, we will mix some more biomass -- some water-absorbent material like peat or bagasse, so soil can hold this water and it stays moist.To grow, plants need water, sunlight and nutrition.What if the soil doe","Si el suelo no tiene la capacidad de mantener agua, mezclamos más biomasa, algn material asorbente de agua como la cara o la saca, para que el suelo puede mantener esta agua y se mantiene humilde.Para crecer, las plantas necesitan agua, luz solar y nutrición.Y si el suelo hace?"
It goes against nature.,Va contra la naturaleza.
We instead add microorganisms to the soil.,"En cambio, agregamos microorganismos al suelo."
They produce the nutrients in the soil naturally.,Producen los nutrientes en el suelo naturalmente.
"They feed on the biomass we have mixed in the soil, so all they have to do is eat and multiply.","Se alimentan por la biomasa que hemos mezclado en el suelo, as que todo lo que tienen que hacer es comer y multiplicarse."
"And as their number grows, the soil starts breathing again.","Y a medida que crece su nmero, el suelo empieza a respirar de nuevo."
It becomes alive.,Se vuelve vivo.
We survey the native tree species of the place.,Encuestamos las especies de árboles nativos del lugar.
How do we decide what's native or not?,Cómo decidimos qué es nativo o no?
"Well, whatever existed before human intervention is native.","Bueno, lo que exista antes de la intervención humana es nativo."
That's the simple rule.,Esa es la regla simple.
We survey a national park to find the last remains of a natural forest.,Encuestamos un parque nacional para encontrar las ltimas restaciones de un bosque natural.
"We survey the sacred groves, or sacred forests around old temples.","Encuestamos las caras sagradas, o bosques sagrados alrededor de los antiguos templos."
"And if we don't find anything at all, we go to museums to see the seeds or wood of trees existing there a long time ago.","Y si no encontramos nada en absoluto, vamos a los museos para ver las semillas o el bosque de los árboles que existen all hace mucho tiempo."
"We research old paintings, poems and literature from the place, to identify the tree species belonging there.","Estudiamos pinturas viejas, poemas y literatura desde el lugar, para identificar las especies de árboles de all."
"Once we know our trees, we divide them in four different layers: shrub layer, sub-tree layer, tree layer and canopy layer.","Una vez que conocemos nuestros árboles, los dividimos en cuatro capas diferentes: capa de arbustos, capa subterritoria, capa de árboles y capa de borrador."
"We fix the ratios of each layer, and then we decide the percentage of each tree species in the mix.","Fixamos las proporciones de cada capa, y luego decidimos el porcentaje de cada especie de árboles en la mezcla."
