en,es
"Now, Ten Commandments is something that is hard to bring into the education system, so we said, ""Why don't we get people to sign the honor code?""So, we got people to sign, ""I understand that this short survey falls under the MIT Honor Code.""Then they shred","['Ahora, Ten Comandamientos es algo que es difícil de traer en el sistema educativo, así que dijimos: ""¿Por qué no hacemos que la gente se signifique el código de honor?""Así que dijimos: ""Entiendo que esta encuesta corta cae bajo el corto plazo.']"
" So, all this was about decreasing the fudge factor.What about increasing the fudge factor?The first experiment -- I walked around MIT and I distributed six-packs of Cokes in the refrigerators -- these were common refrigerators for the undergrads.And I cam","[' Entonces, todo esto se trataba de disminuir el factor de cocina.¿Qué pasa con el factor de cocina?El primer experimento, caminé alrededor del MIT y distribuí seis paquetes de cocinas en los refrigeradores, eran refrigeradores comunes.']"
"As you can expect it doesn't last very long; people take it.In contrast, I took a plate with six one-dollar bills, and I left those plates in the same refrigerators.No bill ever disappeared.Now, this is not a good social science experiment, so to do it bet","['Como pueden esperar que no dura mucho tiempo; la gente lo toma.En contraste, tomé un plato con seis billetes de un dólar, y dejé esos billetes en los mismos refrigeradores.Ningún billete nunca desapareció.Ahora, esto no es una buena ciencia social de']"
"Our subjects doubled their cheating.I'll tell you what I think about this and the stock market in a minute.But this did not solve the big problem I had with Enron yet, because in Enron, there's also a social element.People see each other behaving.In fact, ","['Nuestros temas duplicaron su castigo.Les diré lo que pienso acerca de esto y el mercado de valores en un minuto.Pero esto no resolvió el gran problema que tenía con Enron, porque en Enron, también hay un elemento social.La gente ve que en Enron tambi']"
"The same thing happens.When we give people the opportunity to cheat, they cheat.They cheat just by a little bit, all the same.But in this experiment we also hired an acting student.This acting student stood up after 30 seconds, and said, ""I solved everythi","['Lo mismo sucede.Cuando le damos a la gente la oportunidad de golpear, golpean.Golpean solo por un poco, todo lo mismo.Pero en este experimento también contratamos a un estudiante de actuación.Este estudiante de golpe después de 30 segundos.']"
"The task is finished.""","['La tarea se termina"".']"
"So, now we had a student -- an acting student -- that was a part of the group.Nobody knew it was an actor.And they clearly cheated in a very, very serious way.What would happen to the other people in the group?","['Así que ahora teníamos un estudiante, un estudiante de actuación, que era parte del grupo.Nadie sabía que era un actor.Y claramente castigaron claramente de manera muy, muy seria.¿Qué pasaría a las otras personas del grupo?']"
"Will they cheat more, or will they cheat less?",['¿Harán más o menos?']
"Here is what happens.It turns out it depends on what kind of sweatshirt they're wearing.Here is the thing.We ran this at Carnegie Mellon and Pittsburgh.And at Pittsburgh there are two big universities, Carnegie Mellon and University of Pittsburgh.All of th","['Aquí está lo que pasa.Resulta que depende de qué tipo de camiseta que están usando.Aquí está la cosa.Tomamos esto en Carnegie Mellon y Pittsburgh.Y en Pittsburgh hay dos grandes universidades, Carnegie Mellon y la Universidad de Pittsburgh.']"
"So, what have we learned from this about cheating?We've learned that a lot of people can cheat.They cheat just by a little bit.When we remind people about their morality, they cheat less.When we get bigger distance from cheating, from the object of money, ","['Entonces, ¿qué hemos aprendido de esto acerca del ganado?Hemos aprendido que mucha gente puede ganar.Solo por un poco.Cuando recordamos a la gente sobre su moralidad, sobre menos.Cuando obtenemos una distancia más grande del ganado.']"
"You call them stock, or stock options, derivatives, mortgage-backed securities.","['Los llaman opciones de valores, opciones de valores, derivados, seguridades retiradas.']"
"Could it be that with those more distant things, it's not a token for one second, it's something that is many steps removed from money for a much longer time -- could it be that people will cheat even more?","['¿Podría ser que con esas cosas más distantes, no es una toma durante un segundo, algo que es muchos pasos desaparecidos del dinero durante mucho tiempo, ¿podría ser que la gente aún más?']"
"And what happens to the social environment when people see other people behave around them?I think all of those forces worked in a very bad way in the stock market.More generally, I want to tell you something about behavioral economics.We have many intuiti","['¿Y qué pasa con el entorno social cuando la gente ve que otras personas comportan a ellas?Creo que todas esas fuerzas funcionaron de manera muy mala en el mercado de valores.Más generalmente, quiero contarles algo sobre el comportamiento comportamienta']"
"And she said maybe part of the reason was it was difficult for her.But it was actually more interesting than that, because she said, ""I did not think that your intuition was right.I felt my intuition was correct.""","['Y dijo quizá parte de la razón era que era difícil para ella.Pero en realidad era más interesante que eso, porque dijo: ""No creí que tu intuición era correcta.Sentí que mi intuición era correcta"".']"
"So, if you think about all of your intuitions, it's very hard to believe that your intuition is wrong.","['Si piensan en todas sus intuiciones, es muy difícil creer que tu intuición está equivocada.']"
"And she said, ""Given the fact that I thought my intuition was right ..."" -- she thought her intuition was right -- it was very difficult for her to accept doing a difficult experiment to try and check whether she was wrong.But in fact, this is the situatio","['Y dijo: ""Dado el hecho de que pensé que mi intuición era correcta..."" -- pensó que su intuición era correcta-- era muy difícil para ella aceptar hacer un experimento difícil para tratar de ver si estaba equivocada.Pero era muy difícil para que ']"
There is nothing bigger or older than the universe.,['No hay nada más grande o más viejo que el universo.']
"The questions I would like to talk about are: one, where did we come from?","['Las preguntas que me gustaría hablar son: una, ¿de dónde vimos?']"
How did the universe come into being?,['¿Cómo llegó el universo?']
Are we alone in the universe?,['¿Estamos solos en el universo?']
Is there alien life out there?,['¿Hay vida alienígena allí?']
What is the future of the human race?,['¿Cuál es el futuro de la raza humana?']
"Up until the 1920s, everyone thought the universe was essentially static and unchanging in time.","['Hasta los años 20, todos pensaban que el universo era esencialmente estático e incambiante en el tiempo.']"
Then it was discovered that the universe was expanding.,['Luego se descubrió que el universo estaba expandiendo.']
Distant galaxies were moving away from us.,['Las galaxias distantes se mudaban de nosotros.']
This meant they must have been closer together in the past.,['Esto significó que debían haber estado más cerca en el pasado.']
"If we extrapolate back, we find we must have all been on top of each other about 15 billion years ago.","['Si nos extrapolamos, encontramos que todos debemos haber estado en contra del otro hace unos 15 mil millones de años.']"
"This was the Big Bang, the beginning of the universe.","['Este fue el Big Bang, el comienzo del universo.']"
But was there anything before the Big Bang?,['Pero ¿había algo antes del Big Bang?']
"If not, what created the universe?","['Si no, ¿qué creó el universo?']"
Why did the universe emerge from the Big Bang the way it did?,['¿Por qué emergió el universo desde el Big Bang como fue?']
We used to think that the theory of the universe could be divided into two parts.,['Solíamos pensar que la teoría del universo podía ser dividida en dos partes.']
"First, there were the laws like Maxwell's equations and general relativity that determined the evolution of the universe, given its state over all of space at one time.","['Primero, había las leyes como las ecuaciones de Maxwell y la relatividad general que determinaron la evolución del universo, dado su estado en todo el espacio a la vez.']"
"And second, there was no question of the initial state of the universe.We have made good progress on the first part, and now have the knowledge of the laws of evolution in all but the most extreme conditions.But until recently, we have had little idea abou","['Y segundo, no había cuestión del estado inicial del universo.Hemos hecho un buen progreso en primera parte, y ahora tenemos el conocimiento de las leyes de la evolución en todas las condiciones más extremas.Pero hasta hace poco, hasta hace poco.']"
"However, this division into laws of evolution and initial conditions depends on time and space being separate and distinct.","['Sin embargo, esta división en las leyes de la evolución y las condiciones iniciales depende del tiempo y el espacio que son separados y distintos.']"
"Under extreme conditions, general relativity and quantum theory allow time to behave like another dimension of space.This removes the distinction between time and space, and means the laws of evolution can also determine the initial state.The universe can ","['Bajo condiciones extremas, la relatividad general y la teoría cuántica permiten que el tiempo comporte como otra dimensión del espacio.Esto deja la distinción entre el tiempo y el espacio, y significa que las leyes de la evolución también pueden det']"
"Moreover, we can calculate a probability that the universe was created in different states.","['Además, podemos calcular una probabilidad de que el universo fuera creado en diferentes estados.']"
"These predictions are in excellent agreement with observations by the WMAP satellite of the cosmic microwave background, which is an imprint of the very early universe.","['Estas predicciones están en excelente compromiso con las observaciones por el satélite WMAP del fondo cósmico del fondo cósmico, que es una impresión del universo muy primero.']"
We think we have solved the mystery of creation.,['Creemos que hemos resolvido el misterio de la creación.']
Maybe we should patent the universe and charge everyone royalties for their existence.,['Tal vez deberíamos patentar el universo y cargar a todos royaltades por su existencia.']
"I now turn to the second big question: are we alone, or is there other life in the universe?","['Ahora voy a la segunda gran pregunta: ¿estamos solos, o hay otra vida en el universo?']"
"We believe that life arose spontaneously on the Earth, so it must be possible for life to appear on other suitable planets, of which there seem to be a large number in the galaxy.","['Creemos que la vida surgió espontáneamente en la Tierra, así que debe ser posible que la vida aparezca en otros planetas suficientes, de los cuales parezca haber un gran número en la galaxia.']"
But we don't know how life first appeared.,['Pero no sabemos cómo apareció la vida.']
We have two pieces of observational evidence on the probability of life appearing.,['Tenemos dos piezas de evidencia observacional sobre la probabilidad de aparecer la vida.']
The first is that we have fossils of algae from 3.5 billion years ago.,"['La primera es que tenemos fósiles de algas desde hace 3,5 mil millones de años.']"
The Earth was formed 4.6 billion years ago and was probably too hot for about the first half billion years.,['La Tierra fue formada hace 4.6 mil millones de años y probablemente demasiado calor durante unos primeros mil millones de años.']
"So life appeared on Earth within half a billion years of it being possible, which is short compared to the 10-billion-year lifetime of a planet of Earth type.","['Así que la vida apareció en la Tierra en medio mil millones de años de posible, lo que es corto comparado con la vida de 10 mil millones de años de vida de un planeta de tipo Tierra.']"
This suggests that the probability of life appearing is reasonably high.,['Esto sugiere que la probabilidad de que la vida aparezca es razonablemente alta.']
"If it was very low, one would have expected it to take most of the ten billion years available.","['Si fuera muy bajo, uno hubiera esperado que tomara la mayor parte de los 1000 millones de años.']"
"On the other hand, we don't seem to have been visited by aliens.I am discounting the reports of UFOs.Why would they appear only to cranks and weirdos?","['Por otro lado, no parece haber sido visitados por alienígenas.Estoy descubriendo los informes de UFOs.¿Por qué aparecerían solo a los raros y raros?']"
"If there is a government conspiracy to suppress the reports and keep for itself the scientific knowledge the aliens bring, it seems to have been a singularly ineffective policy so far.Furthermore, despite an extensive search by the SETI project, we haven't","['Si hay una conspiración del gobierno para suprimir los informes y mantener por sí mismo el conocimiento científico que traen los alienígenas, parece haber sido una política singularmente ineficaz hasta ahora.Más además, a pesar de una gran búsqued']"
Issuing an insurance policy against abduction by aliens seems a pretty safe bet.,['Presentar una política de seguro contra la abducción de alienígenas parece una apuesta bastante segura.']
This brings me to the last of the big questions: the future of the human race.,['Esto me lleva a la última de las grandes preguntas: el futuro de la raza humana.']
"If we are the only intelligent beings in the galaxy, we should make sure we survive and continue.","['Si somos los únicos seres inteligentes de la galaxia, deberíamos asegurarnos de que sobrevivamos y continuar.']"
But we are entering an increasingly dangerous period of our history.,['Pero estamos entrando en un período crecientemente peligroso de nuestra historia.']
"Our population and our use of the finite resources of planet Earth are growing exponentially, along with our technical ability to change the environment for good or ill.","['Nuestra población y nuestro uso de los recursos finitos del planeta Tierra están creciendo exponencialmente, junto con nuestra habilidad técnica para cambiar el ambiente para bien o enfermo.']"
But our genetic code still carries the selfish and aggressive instincts that were of survival advantage in the past.,['Pero nuestro código genético todavía lleva a los instintos auténticos y agresivos que eran de ventaja de sobrevivencia en el pasado.']
"It will be difficult enough to avoid disaster in the next hundred years, let alone the next thousand or million.","['Será lo suficientemente difícil evitar el desastre en los próximos cien años, solo los próximos millones o millones.']"
"Our only chance of long-term survival is not to remain inward-looking on planet Earth, but to spread out into space.","['Nuestra única posibilidad de sobrevivir a largo plazo no es seguir buscando el planeta Tierra, sino espacializarse en el espacio.']"
The answers to these big questions show that we have made remarkable progress in the last hundred years.,['Las respuestas a estas grandes preguntas muestran que hemos hecho un gran progreso en los últimos cien años.']
"But if we want to continue beyond the next hundred years, our future is in space.","['Pero si queremos continuar más allá de los próximos cien años, nuestro futuro está en el espacio.']"
"That is why I am in favor of manned -- or should I say,  personned -- space flight.",['Por eso estoy en favor de un vuelo de vuelo espacial espacial.']
"All of my life I have sought to understand the universe and find answers to these questions.I have been very lucky that my disability has not been a serious handicap.Indeed, it has probably given me more time than most people to pursue the quest for knowle","['Toda mi vida he buscado entender el universo y encontrar respuestas a estas preguntas.He estado muy suerte de que mi discapacidad no ha sido un hándicap serio.De hecho, probablemente me ha dado más tiempo que la mayoría de las personas.']"
Thank you for listening.,['Gracias por escuchar.']
"Chris Anderson: Professor, if you had to guess either way, do you now believe that it is more likely than not that we are alone in the Milky Way, as a civilization of our level of intelligence or higher?","['Chris Anderson: Profesor, si tuvieras que adivinar cualquier manera, ¿crees que es más probable que no estar solos en la carrera leche, como una civilización de nuestro nivel de inteligencia o más alta?']"
"This answer took seven minutes, and really gave me an insight into the incredible act of generosity this whole talk was for TED.","['Esta respuesta tomó siete minutos, y realmente me dio una idea del increíble acto de generosidad que toda esta charla fue para TED.']"
Stephen Hawking: I think it quite likely that we are the only civilization within several hundred light years; otherwise we would have heard radio waves.,['Stephen Hawking: Creo que es bastante probable que seamos la única civilización dentro de varios cientos años luz; de lo contrario habríamos escuchado ondas de radio.']
"The alternative is that civilizations don't last very long, but destroy themselves.","['La alternativa es que las civilizaciones no duran mucho tiempo, sino se destruyen.']"
"CA: Professor Hawking, thank you for that answer.","['CA: Profesor Hawking, gracias por esa respuesta.']"
"We will take it as a salutary warning, I think, for the rest of our conference this week.Professor, we really thank you for the extraordinary effort you made to share your questions with us today.Thank you very much indeed.","['Lo tomaremos como una advertencia saludable, creo, para el resto de nuestra conferencia esta semana.Profesor, realmente gracias por el extraordinario esfuerzo que hiciste para compartir sus preguntas con nosotros hoy.Muchas gracias.']"
This is a man-made forest.,['Este es un bosque hecho de hombre.']
"It can spread over acres and acres of area, or it could fit in a small space -- as small as your house garden.","['Puede propagarse en puentes y puentes de área, o podría encajar en un pequeño espacio, tan pequeño como el jardín de casa.']"
Age of this forest is just two years old.,['La edad de este bosque tiene solo dos años.']
I have a forest in the backyard of my own house.,['Tengo un bosque en el jardín de mi propia casa.']
It attracts a lot of biodiversity.,['Atrae mucha biodiversidad.']
" I wake up to this every morning, like a Disney princess. I am an entrepreneur who facilitates the making of these forests professionally.We have helped factories, farms, schools, homes, resorts, apartment buildings, public parks and even a zoo to have one","[' Me desperto a esto cada mañana, como una princesa Disney. Soy una empresa que facilita el hacer de estos bosques profesionalmente.Hemos ayudado a fábricas, granjas, escuelas, hogares, recursos, edificios públicos, públicos públicos.']"
A forest is not an isolated piece of land where animals live together.,['Un bosque no es una pieza de tierra aislada donde los animales viven.']
A forest can be an integral part of our urban existence.,['Un bosque puede ser una parte integral de nuestra existencia urbana.']
"A forest, for me, is a place so dense with trees that you just can't walk into it.","['Un bosque, para mí, es un lugar tan denso con árboles que no puedes caminar.']"
It doesn't matter how big or small they are.,['No importa lo grande o pequeño que son.']
Most of the world we live in today was forest.,['La mayoría del mundo en el que vivimos hoy era el bosque.']
This was before human intervention.,['Fue antes de la intervención humana.']
"Then we built up our cities on those forests, like São Paulo, forgetting that we belong to nature as well, as much as 8.4 million other species on the planet.","['Luego construimos nuestras ciudades en esos bosques, como São Paulo, olvidando que pertenecemos a la naturaleza, tanto como 8.4 millones de otras especies en el planeta.']"
Our habitat stopped being our natural habitat.,['Nuestro hábitat dejó de ser nuestro hábitat natural.']
But not anymore for some of us.,['Pero ya no para algunos de nosotros.']
A few others and I today make these forests professionally -- anywhere and everywhere.,"['Algunos otros y yo hoy hacemos estos bosques profesionalmente, en cualquier lugar y en todos lados.']"
I'm an industrial engineer.,['Soy ingeniero industrial.']
I specialize in making cars.,['Me especializo en hacer autos.']
"In my previous job at Toyota, I learned how to convert natural resources into products.","['En mi trabajo anterior en Toyota, aprendí a convertir recursos naturales en productos.']"
"To give you an example, we would drip the sap out of a rubber tree, convert it into raw rubber and make a tire out of it -- the product.","['Para darles un ejemplo, despegaríamos la sapa de un árbol de robo, convertirla en robo de robo y hacer una conducción de ella, el producto.']"
But these products can never become a natural resource again.,['Pero estos productos nunca pueden convertirse en recurso natural.']
We separate the elements from nature and convert them into an irreversible state.,['Separamos los elementos de la naturaleza y los convertimos en un estado irreversible.']
That's industrial production.,['Eso es la producción industrial.']
"Nature, on the other hand, works in a totally opposite way.The natural system produces by bringing elements together, atom by atom.All the natural products become a natural resource again.","['La naturaleza, por otro lado, funciona de una manera totalmente opuesta.El sistema natural produce traendo elementos, átomo por átomo.Todos los productos naturales se convierten en un recurso natural.']"
This is something which I learned when I made a forest in the backyard of my own house.,['Esto es algo que aprendí cuando hice un bosque en el jardín de mi propia casa.']
"And this was the first time I worked with nature, rather than against it.","['Y esta fue la primera vez que trabajé con la naturaleza, en vez de contra de ella.']"
"Since then, we have made 75 such forests in 25 cities across the world.","['Desde entonces, hemos hecho 75 bosques tales en 25 ciudades del mundo.']"
"Every time we work at a new place, we find that every single element needed to make a forest is available right around us.","['Cada vez que trabajamos en un nuevo lugar, encontramos que cada elemento necesario para hacer un bosque está disponible justo alrededor de nosotros.']"
All we have to do is to bring these elements together and let nature take over.,['Todo lo que tenemos que hacer es traer estos elementos y dejar que la naturaleza se apague.']
To make a forest we start with soil.,['Para hacer un bosque empezamos con el suelo.']
"We touch, feel and even taste it to identify what properties it lacks.","['Tocamos, sentimos e incluso lo sabemos para identificar qué propiedades faltan.']"
"If the soil is made up of small particles it becomes compact -- so compact, that water cannot seep in.","['Si el suelo está hecho de pequeñas partículas se convierte en compacto, tan compacto, que el agua no puede separar.']"
"We mix some local biomass available around, which can help soil become more porous.","['Mezclamos alguna biomasa local disponible alrededor, que puede ayudar al suelo ser más poroso.']"
Water can now seep in.,['El agua puede separarse.']
"If the soil doesn't have the capacity to hold water, we will mix some more biomass -- some water-absorbent material like peat or bagasse, so soil can hold this water and it stays moist.To grow, plants need water, sunlight and nutrition.What if the soil doe","['Si el suelo no tiene la capacidad de mantener agua, mezclaremos algún material absorbente de agua, algún material absorbente de agua, como pastel o bagassa, para que el suelo pueda mantener este agua y mantenerse helado.Para crecer, las plantas necesita']"
It goes against nature.,['Va contra la naturaleza.']
We instead add microorganisms to the soil.,"['En cambio, añadimos microorganismos al suelo.']"
They produce the nutrients in the soil naturally.,['Producen los nutrientes en el suelo naturalmente.']
"They feed on the biomass we have mixed in the soil, so all they have to do is eat and multiply.","['Alimentan la biomasa que hemos mezclado en el suelo, así que todo lo que tienen que hacer es comer y multiplicar.']"
"And as their number grows, the soil starts breathing again.","['Y al crecer su número, el suelo empieza a respirar de nuevo.']"
It becomes alive.,['Se vuelve vivo.']
We survey the native tree species of the place.,['Encuestamos la especie de árboles nativo del lugar.']
How do we decide what's native or not?,['¿Cómo decidimos qué es nativo o no?']
"Well, whatever existed before human intervention is native.","['Bueno, lo que existía antes de la intervención humana es nativo.']"
That's the simple rule.,['Esa es la regla simple.']
We survey a national park to find the last remains of a natural forest.,['Encontramos un parque nacional para encontrar los últimos restos de un bosque natural.']
"We survey the sacred groves, or sacred forests around old temples.","['Encuestamos los bosques sagrados, o bosques sagrados alrededor de los templos viejos.']"
"And if we don't find anything at all, we go to museums to see the seeds or wood of trees existing there a long time ago.","['Y si no encontramos nada, vamos a los museos para ver las semillas o madera de árboles que existen hace mucho tiempo.']"
"We research old paintings, poems and literature from the place, to identify the tree species belonging there.","['Investigamos pinturas, poemas y literatura del lugar, para identificar la especie de árbol que piensa allí.']"
"Once we know our trees, we divide them in four different layers: shrub layer, sub-tree layer, tree layer and canopy layer.","['Una vez que conocemos nuestros árboles, los dividimos en cuatro capas diferentes: capa de árbol, subárbol, capa de árbol y capa de canopía.']"
