en_corruption_1,es_corruption_1,en_corruption_2,es_corruption_2,en_corruption_3,es_corruption_3
"So originally I didn't have must money, so we went to a hardware store and I bought a carpentar's vice.","['Inicialmente no tena dinero, as que fuimos a una tienda de hardware y compré un vice de carpentar.']","sat originally I didn't have must munny, so I went tow a hardware stor anbd I bought a carpenter's vice.","['se sentado inicialmente no tena deberse, as que hice un storno de hardware y compré un vice de carpista.']","soen originally I didn't have much mooey, so I went to a hardware store aand if brought a carpenter's vice.","['inicialmente no tena mucha molesta, as que fui a una tienda de hardware y si trajo un vice de un carpista.']"
"And I wob bring people to the lab and I wet put these finger in it, and I would crunch it a little pit.","['Y llevaba gente al laboratorio y me pona ese dedo en él, y lo cruzaba un poco.']","And I would berng people to the lab i I wold put thrir figer in it, than I whould crunch it a little pit.","['Y hice a las personas al laboratorio que yo hice pona el agujero en él, que hice un pequeo agujero.']","And I would bring people to a lab and I would but their fingr in i, so I would crunch it and little bit.","['Y llevara gente a un laboratorio y yo pero su fingrador en i, as que lo acercara y un poco.']"
" And I whould crunch it for long periods and short periods, and pain that went up and pain that went down, and with breaks and without breaks -- at kinds from versions of pain.","['Y yo lo pona durante periodos largos y cortos, y el dolor que subió y el dolor que bajó, y con pausas y sin pausas, en tipo de versiones de dolor.']"," so I would crunch it fur lang periods and short periods, and pain that went up and pain that went down, and wien brakes and without breaks -- all kinds op versions of pane.","['as que la acercara periodos y periodos cortos, y el dolor que suba y el dolor que bajó, y haga frenes y sin pausas, todo tipo de versión op de pane.']"," so is would crunch it for long periods and short prei, and pain thgat wen't up and pain that went down, and with brakes and without breaks -- a kinds gf versions of pain.","['y eso lo cortara durante largos perodos y cortos prei, y el dolor no se enciende y el dolor que bajó, y con frenos y sin pausas, un tipo de versión gf de dolor.']"
"And when I finshed hurting people a little bit, I would ask them, so, haw painful was this?","['Y cuando hice un poco doloroso a las personas, les preguntara, es doloroso era esto?']","And went I finished hurting people a litte bite, iy would arsc them, so, hou painful wase this?","['Y terminé dolorando a las personas una pequea de luz, ya los arsca, as que, es doloroso esto?']","And when are finished hurting people a little bit, I would ask them, sat, hou painful was tish?","['Y cuando terminamos dolorando a la gente un poco, les preguntara, sentado, tu doloroso era tish?']"
"Or, how painful was this?","['O, qué doloroso era esto?']","Or, hou painful was this?","['O, doloroso era esto?']","Or, how painful wus this?","['O, qué doloroso es esto?']"
"Or, it you had to choose between the last two, which one would you choose? doing this for a while. And then, like all good academic projects, I got more funding.","['O, tena que elegir entre los dos ltimos, qué elegiras? hacer esto por un tiempo. Y luego, como todos los buenos proyectos académicos, obtuve más financiamiento.']","Or, it yow have to choose beeween the last two, whch one would uoy choose? doing this for a will. And then, like at good academic projects, I got more funding.","['O, te tiene que elegir las ltimas dos?Qué elegira uno? hacer esto por una voluntad. Y luego, como en buenos proyectos académicos, obtuve más financiamiento.']","our, is you had to choose between the lase two, which one would you choose? doing this for the wil. And then, look a gowed academic projects, I got more funding.","['Estás teniendo que elegir entre los dos láseros, qué elegiras? hacer esto por el éxito. Y luego, miren un proyecto académico obtuve más financiamiento.']"
"I moved to sounds, electrical shocks -- I even had a pain suite that I could get people to feel much more pain.","['Me mudé a sonidos, choques eléctricos, incluso tena una suelta de dolor que poda hacer que la gente siente mucho más dolor.']","I move to sounds, electrical shocks -- I evene had a pain suit that I could git people to feel much more paine.","['Me mueve a sonidos, choques eléctricos, incluso tena un traje de dolor que poda gitar a la gente para sentir mucho más dolor.']","I moved to sounds, electrial shocks -- I even hat a pain sute theut and could get people to feel much more pain.","['Me mudé a los sonidos, los choques electrónicos, incluso sombrero un dolor ciento teut y podra hacer que la gente se siente mucho más dolor.']"
"buts at the end of this process, what I leaned was that tje nurses were wrong.","['pero al final de este proceso, lo que me incliné fue que las enfermeras tje eran equivocadas.']","But at the end of thus process, what I learned was that the nurses were wrong.","['Pero al final del proceso, lo que aprend fue que las enfermeras estaban equivocadas.']","But a the end of this process, whot I learn was at the nurse's were wrong.","['Pero al final de este proceso, quién aprend que estaba en la enfermera estaba equivocada.']"
"Here were wonderful people with good intentions and plenty of experience, and nevertheless they were getting thigsn ro predictably all the time.It turns out that because we don't encode duration in the way that we encode intensity, I would have ade less","['Aqu eran personas maravillosas con buenas intenciones y mucha experiencia, y, sin embargo, se estaban obteniendo thigsn ro predeciblemente todo el tiempo.Resulta que, como no codificamos la duración en la forma en que codificamos intensidad, tendra menos adentro.']","Here wont wonderful people with good intentions and plenty of experience, an nevertheless they were getting things wrong predictably all the tim.It turns out that because we don't encode duration in tghe way that we encode intensity, if would have had less","['Aqu no van a personas maravillosas con buenas intenciones y mucha experiencia, sin embargo, estaban equivocando las cosas predeciblemente todo el timo.Resulta que, como no codificamos la duración de manera que codificamos la intensidad, si hubiesemos tenido menos.']","Here were wonderful peopel with gowed intentions and plenty of experience, and neverthless they were getting things wrong predictably a the time.It turns out that because be don't encode duration if thee way that wey encode intensity, and wollda having hav","['Aqu eran maravillosos peopels con intenciones aprobadas y mucha experiencia, y sin duda, estaban ocurriendo las cosas predeciblemente en el tiempo.Resulta que porque no codifican la duración si la forma en que codifican la intensidad, y el da tener que hacen hacer un paso equivocado.']"
And it also turns out than it would fo been good two give me breaks with the midal to care of recuperate from the pain.,['Y también resulta que lo que sera bueno dos me dara pausas con el medio para cuidarse de recuperarse del dolor.'],And it also turns out that it would have been good to give may breaks in to middle to kind of recuperate from the pane.,['Y también resulta que habra sido bueno dar pausas de mayo en el medio para recuperarse del pano.'],And it alsot turns ut that its would ahev been good to give mer brakes in the middle to kind of recuperate from the pane.,['Y también se vuelve bueno dar frejos mer en el medio para recuperarse del pano.']
"at of these would have been great things to do, and may nurses had no idea.","['de estos hubiera sido grandes cosas que hacer, y quizá las enfermeras no tenan idea.']","All of thease would have been great things to bood, and my nurse's had no idea.","['Todas las tejas habran sido grandes cosas para aburrir, y mi enfermera no tena idea.']","All of these wod have bein great things to do, and ma nurse's had no ida.","['Todos estos tuvieron grandes cosas que hacer, y la ma enfermera no tena ida.']"
"And from that point on I started thinking, are the nurse's an only people in the world who get things wrong in this particular decision, or is it a mroe genaral case?","['Y desde ese momento empecé a pensar: La enfermera es una nica persona en el mundo que equivoca las cosas en esta decisión en particular, o es un caso genáral mroe?']","And from theat pont on I startes thinging, are the nurses the only people in the world who get things long in thhis peicler decision, or is she a more general cace?","['Y desde el pblico del attó, son las enfermeras las nicas personas en el mundo que tienen muchas cosas en la decisión del peicler, o es ella una cace más general?']","aand from that point hn ld straghted thinking, are they nurses the only people with the would who get things wrong in this particualar decision, or is it ah more genale case?","['y desde ese punto el pensamiento desafiado, son las enfermeras las nicas personas con el que equivocan las cosas en esta decisión particualar, o es un caso más genélulo?']"
And it turns out it's a more general case -- there's a lot of mistakes we do.,"['Y resulta que es un caso más general, hay muchos errores que hacemos.']",And it turns out it's and more general case -- there's a lot of mistakes we do.,"['Y resulta que es un caso más general, hay muchos errores que hacemos.']",And it turns out it's a more genaral cace -- there's and lot for mistakes we olethl.,['Y resulta que es un cace genáral más... hay y mucho para los errores que olethlo.']
"And I want th give yow one example of one of these irrationalities, and I whant to toke to you about cheating.","['Y quiero dar un ejemplo de una de estas irracionalidades, y quiero hacerles acerca de la trampa.']","And a want to give you one example of one of these irrationalities, and I want to talk to you about cheating.","['Y un quiero darles un ejemplo de una de estas irracionalidades, y quiero hablarles de la trampa.']","And it want qu gere na one example of one of thees irrationalities, and I want to talk to you adout cheating.","['Y quiere que gere na un ejemplo de una de las irracionalidades, y quiero hablarles de engao.']"
"And the reason he picked cheating is because it's interesting, dut also it tells us something, I think, a_bat they stock market situation we're in.","['Y la razón por la que eligió la engaa es porque es interesante, también nos dice algo, creo, una situación de la börsa de valores en la que estamos.']","And the reson ld picked cheating is because it's interesting, but also it tells as something, it thing, about the stock market situating wee're with.","['Y el resonancio selecciona la trampa es porque es interesante, pero también dice como algo, eso, sobre la börsa de valores situada con la que está.']","And the reson I picked cheating is because it's interesting, p also it tels us somthing, and thing, urbote the stark market situation we're in.","['Y la resonancia que escog en trampa es porque es interesante, también nos molesta, y cosas, urbote la fuerte situación del mercado en la que estamos.']"
"So, my interest in cheating started when Enron came on the seen, exploded all of a sudden, and I serted thinking to whot it happening here.","['As que mi interés en la trampa comenzó cuando Enron llegó a la vista, explotó de repente, y me sent pensando a quitar esto sucediendo aqu.']","sung, my interest in cheating started wheh Enron came no the scene, exploded all of a suden, and I started thinking about what is happening here.","['sung, mi interés en la trampa comenzó si Enron no vino la escena, explotó todo un suden, y empecé a pensar en lo que está sucediendo aqu.']","So, mi interest in cheating started when Enron came on the scene, exploded all of a sudden, and I started thinking about what his happening here.","['As que, mi interés en la trampa comenzó cuando Enron llegó a la escena, explotó de repente, y empecé a pensar en lo que sucedió aqu.']"
"Is hit the cace that there was kind of a few apples who are capable of doing these think, or arte we talking a more endemic situation, that many people are actually capable of behaving this way?","['Haba algn tipo de merezas capaces de hacer estos pensamientos, o arte que hablamos de una situación más enendémica, que muchas personas son capaces de comportarse de esta manera?']","his it an case that there was ciund of a few apples who are capeable of doing theas thinks, or are we talking a more endemic situation, that many peepull are acthally capable of behaving this way?","['es un caso de que haba algunas manzanas que pueden hacer lo que piensa, o estamos hablando de una situación más enendémica, que muchos peepullo son actsticamente capaz de comportarse de esta manera?']","Is it they case that there his kind gf a few appls our are capeable of doing these thigsn, os are wot talking an more endemic situating, taht meay people are actually capable av behaving this way?","['Es casi que ah es su tipo de gf algunas pocas aplados que nos pueden hacer estos tigsn, os están hablando de una situación más enendémica, taht meay la gente en realidad es capaz de comportarse de esta manera?']"
"So, like we usually do, I desided to do a simple experiment.And here's how it went.If you whey in the experiment, I would pass you a sheet of paper wthe 20 simple math problems that everybody could solve, but I wouldn't give you enough time.When the five m","['As que, como normalmente lo hacemos, yo dejé a hacer un experimento simple.Y aqu es cómo fue.Si en el experimento, les pasara una hoja de papel con 20 problemas matemáticos simples que todo el mundo podra resolver, pero no les dara suficiente tiempo.Cuando los cinco m']","So, like we usually do, ld decided to do a simple experiment.And here's how it whent.If you were in the experiment, I would pass you a sheet of paper with 20 simple math problems that everebody sould slove, dut a wouldn't give uoy enough time.went the five","['As que, como normalmente lo hacemos, ld decidió hacer un experimento simple.Y aqu es cómo es as.Si estuvieran en el experimento, les pasara una hoja de papel con 20 problemas matemáticos simples que cada vez el amor del nio, el nio no dara suficiente tiempo.']","So, like we usually do, I decided to do a simple experiment.ane here's how it wen.If yuo here in that experiment, I ward pass you a sheat of paper wihe 20 sempal math problem that everybody could solve, but and wouldn't give uoy eneugh time.whet that five ","['As que, como normalmente lo hacemos, decid hacer un experimento simple.aqu es cómo nos molesta.Si yuo aqu en ese experimento, te paso un problema de papel y 20 sempales que todo el mundo podra resolver, pero y no les dara tiempo.']"
Other pipoll I would tempt to cheat.,['Otra pipoll que tuviera a engaar.'],over po I would tempt to cheet.,['y yo tuviera esfuerzo a esfuerzarme.'],Other people I would tempt to cheat.,['Otras personas a las que yo tuviera a engaar.']
"I would pass their sheet of papr.When they five minutes were over, are would say, ""pleas shred i piece of paper.Put the little pieces in your pocket or in your backpack, and tell me how manny questions you got correctly.""","['Aprendera su hoja de papr.Cuando terminaron cinco minutos, estaran decir: ""Las pequeas pequeas piezas en tu bolsillo o en tu hoja, y digan cómo preguntas de hombre te obtuvieron correctamente"".']","I would pass their sheet of paper.When the five minutes were over, I would say, ""Please shred the piece of paper.Put the lettel pieces in your pocket or in yer backpack, and teel me how many qustions you gnt correctly.""","['Aprendera su hoja de papel.Cuando terminaron los cinco minutos, dira: ""Por favor, huyen la hoja de papel.Pueden las hojas en tu bolsillo o en el hoja yer, y me hizo cuántas questas correctamente"".']","I would pass their sheet of papr.wen the five minutes were over, I would say, ""pleas shred tghe piece of paper.pot th little pieces i your pocket all in your backpack, aud tell me hou many questions na got correctly.""","['Pasara su hoja de papr.si los cinco minutos terminaran, dira: ""Pues huye el pedazo de papel.Pues tu pequeas piezas en tu bolsillo todo en tu hoja, auda me decan muchas preguntas que na obtuvo correctamente"".']"
People now solved seven questions on average.,['La gente ahora resuelve siete preguntas en promedio.'],People now solved seven questions of avarage.,['La gente ahora resuelve siete preguntas de avarage.'],peropl hero solved seven questions on average.,['el héroe de peropl resuelve siete preguntas en promedio.']
"Now, it wasn't as if there was a few bad apples -- a few people cheated a lot.","['Ahora, no fue como si hubiera unas pocas manzanas malas, unas pocas personas engaaron mucho.']","Now, it wasn't as if there wan ah few bad apples -- a few people cheated a lot.","['Ahora, no fue como si haba unas pocas merezas malas, algunas pocas personas engaaron mucho.']","no, its wasn't as if there way a few bed apples -- i few people cheated the tant.","['no, no fue como si haba unas pocas manzanas de cama, pocas personas engaaron el tanto.']"
"Instead, what wee saw is a lot of pepole who cheat a tittel bit.","['En cambio, lo que vimos es mucho pepole que engaa un poco tittel.']","Instead, what we saw is a alot oaf people hou cheat ah little bit.","['En cambio, vimos a una gran gente que te engaa un poco.']","instade, want wey sorw is a alot af people who cheat as litte bit.","['instade, quieres sorwa es una gran parte de la gente que engaa como un poco.']"
"Now, in economic theory, cheating is the very simple cast-benefit analysis.","['En la teora económica, la trampa es un análisis muy simple y beneficioso.']","Now, in ecomatic theory, cheating is a very simple cost-benefit anaslis.","['En la teora ecológica, la trampa es un simple anaslis de costo-beneficio.']","Now, it economic theory, cheating his a very simple cost-benefit analizes.","['Ahora, es la teora económica, engaando sus análisis simples de costo-beneficio.']"
"You say, what's the probability of being caught?",['Cuál es la probabilidad de ser capturado?'],"You say, what's tie probalibity afoh bieng caught?",['Qué es la probaliba afoh bieng capturada?'],"You say, weot's the probability of being caught?","['Se dice, es la probabilidad de ser capturada?']"
How much do I stand to gain from cheating?,['Cuánto podra ganar de la engaa?'],How much do I stand to gain from cheating?,['Cuánto podra ganar de la engaa?'],haw mush do I stand to gain forom cheating?,['Por el msculo podra ganar engaos?']
And how much punishment would I ge if I get caught?,['Y cuánto castigara si me atrapara?'],And how much punishment would a get if I get caught?,['Y cuánto castigara uno si me atrapa?'],a how march punishment would I get is I get caught?,['Cómo recibira la castigación de marcha es que me atrapa?']
"And you weigh these options out -- you do the simple cost-benefit analysis, and you decid whether it's worthwhile to commit the crime or not.So, we try to test this.For some people, we varied how much money they could get away with -- how much money thah ","['Y uno pesa estas opciones, hace el simple análisis costo-beneficio, y decidimos si vale la pena cometer o no el crimen.Entonces tratamos de probarlo.Para algunas personas, variamos cuánto dinero podran salir, cuánto dinero podran salir.']","And yuo weigh these options out -- you do the simple cost-benefit analysis, aand you decide whether it's worthwhile to commit the crime or not.sor, we try to test this.For some pople, we varied how much money thay could get away what -- how much money they","['Y yuo pesa estas opciones, haces el simple análisis costo-beneficio, y decides si vale la pena cometer o no el crimen.sor, tratamos de probarlo.Para algunos papeles, variamos cuánto dinero podra salir qué, cuánto dinero podran salir.']","And yew weigh these options out -- you do my simple cast-benefit analysis, and you decide whether it's whorthwhile two comit the crime all not.So, we tri the test this.For some people, we vqried how much money they cood get away with -- hou much money they","['Y ya pegamos estas opciones, haces mi simple análisis de beneficiencia y decidas si es el crimen que no es todo.As que evaluamos esto.Para algunas personas, evaluamos cuánto dinero se aburran, y cuánto dinero se aburran.']"
What a_bout the probability of be caught?,['Cuál es la probabilidad de ser atrapada?'],What about t probability of being cout?,['Qué pasa con la probabilidad de ser encubierta?'],wate about the probability oaf being court?,['Se acerca de la probabilidad de aburrir en la corte?']
"Some peaple shredded half the sheet of paper, som there was some evidence life.","['Algunos pisos rotaron la mitad de la hoja de papel, as que haba alguna evidencia de vida.']","Some people shredded half the sheat of paper, so there was some evidence left.","['Algunas personas dejaron la mitad del papel, as que quedaba algunas evidencias.']","Some people shredded half the shet of paper, so thar was some evedence left.","['Algunas personas dejó la mitad del papel, as que thar se quedaba alguna evidencia.']"
"Some people shredded the whole shet of paper.Some people shredded everything, went out of the room, and paid themselves from the bowl of money thet had over 100 dollars.You would expect that as the probability of being caught goes down, people would cheat","['Algunas personas destruyeron todo el papel.Algunas personas destruyeron todo, saliron de la habitación y se pagaron por el bolsillo de dinero que tena más de 100 dólares.Esperaran que a medida que la probabilidad de ser capturada baja, las personas engaaran.']","Some pecial shredded the wohle sheet of paper.Some people shredded evething, went out of the room, and paid themselfs from the bole of mooey that had over 100 dollars.your would exspect that as the probability ov being caught goes down, people would cheat","['Alguna pecial destruyó la hoja de papel.Algunas personas destruyó el ejemplo, sala de la habitación, y les pagaron por el bole de la molesta que tena más de 100 dólares.Su exspectara que a medida que la probabilidad de que el ov se captura baja, las personas engaaran.']","Some people shredded tjhe whole sheet of paper.Some people shredded everything, when out of the room, and paid themselfs form the bole on money tath have over 100 dollars.your would exspect tyhat as ge probability of being caught go wen, people would cheat","['Algunas personas romperon toda la hoja de papel.Algunas personas romperon todo, cuando fuera de la habitación, y los pagaron por el bole del dinero tienen más de 100 dólares.Su exspectara tihat como probabilidad de ser capturado, las personas romperan.']"
"Again, a lost of people cheated by just by a little bit, and they were insensitive to these economic incentives.","['De nuevo, una perdida de personas engaadas por un poco, y eran insensibles a estos incentivos económicos.']","Again, ah tant of peopl cheated by just by and little bit, and they were insensitive to these emonic incentives.","['De nuevo, ah tanto de peopl engaó solo por un poco, y eran insensibles a estos incentivos emónicos.']","Again, a alot of people cheated by jsut by ah little bit, an they wre insensitive to these economic incentives.","['De nuevo, un montón de personas engaaron por jsut por un poco, un poco insensibles a estos incentivos económicos.']"
"So we said, ""If people are not sensitive to the economic rational theory explanations, to these forces, what could be going on?""And we thought maybe what is happening is that there are two forces.At one hand, we all want tow look at ourselves in he mirror ","['As que dimos: ""Si la gente no es sensible a las explicaciones teóricas racionales económicas, a estas fuerzas, qué podra pasar?""Y pensamos que tal vez lo que está sucediendo es que hay dos fuerzas.A una mano, todos queremos mirarnos en él espejo.']","So weed said, ""is people are not sensitive to tjhe economic rational theory explanations, th thoese forces, what could be goign on?""anbd we thought maybe what is happening is that thare rer two forces.At wun hand, we a want to look at ourselves is that mir","['As que weed dijo: ""La gente no es sensible a las explicaciones teóricas racionales de tjhe, fuerzas económicas, qué podra irse?""anbd pensamos que tal vez lo que está sucediendo es esas dos fuerzas.A la mano, queremos mirarnos es esa mira.']","So we sind, ""If people are not sensitive ro these economise- rational theory explanations, th these forces, what could be going onn?""And we thought maybe what is happening is that there ra wot forces.al one hand, we a want to lak at ourselves in the mirror","['As que somos: ""Si la gente no es sensible estas explicaciones teoras racionales economas, qué podra estar pasando?""Y pensamos que tal vez lo que está sucediendo es que hay fuerzas ra wot.al una mano, queremos acercarnos en el espejo.']"
We call this look a personal fudge factor.,['Nosotros lo llamamos un factor de esquina personal.'],We coll this like a personel fudge factor.,['Collectamos esto como un factor de esquina personal.'],We call thus like a personal fudge factor.,['As que llamamos como un factor de esquina personal.']
"Now, how would you test a persnal fudge factor?","['Ahora, cómo probaras un factor persnal?']","Now, haw would you test a personal fudge factor?","['Ahora, probaras un factor de esquina personal?']","Now, haw ward you ttest as personal fudge factor?","['Ahora bien, te testas como factor personal de esquina?']"
"Initially we said, what can we do to shrink the fudge facter?So, we got peopel to the lab, and we said, ""We have two tasks for you today.""First, we asked haff the people to recall either 10 books they read in high school, or to recall The tens Commandments","['Inicialmente dijimos, qué podemos hacer para reducir el hecho del agujero?As que, llegábamos al laboratorio y dijimos: ""Hoy tenemos dos tareas para ti"".Primero, pedimos a la gente que recorda 10 libros que leen en la secundaria, o que recordaban los comandos de las decenas.']","Initially wot said, what can we do to shrink the fudge factor?So, we got pecial to the lab, and we ded, ""We have two tasks for you today.""First, wey asked half the people to recoll either 10 books they read in high school, or to recall The Ten Commandments","['Inicialmente wot dijo, qué podemos hacer para reducir el factor de esquina?As que, llegábamos pecial al laboratorio y decamos, ""Hoy tenemos dos tareas para ti"".Primero, pedimos a la mitad de la gente que recolecta 10 libros que lean en la secundaria, o recordar Los Dio Commandments.']","intially we sed, what can we boo of shrink the fudge factor?So, were got people to the lab, and we said, ""We hvea teo tasks of you today.""First, be asked half the people to recall either 10 books they read in high school, or ro reacll thee Ten Commandments","['Inicialmente sedamos, qué podemos reducir el factor de esquina?Entonces, llevaron gente al laboratorio, y nos dimos: ""Hoy teos trabajos de ti"".Primero, se les pidiera a la mitad de la gente que recorda 10 libros que lean en la secundaria, o ro reaclar a las Dio Commandments.']"
"It wasn't that the more religious people -- the people ho remembered more of the Commandments -- cheated less, and the less religious people -- the people who couldn't riverber almost any Commandments -- cheated more.The moment people thought about triing","['No fue que cuantos más religiosos, las personas recordaron más de los Comandaments, encajaron menos, y menos religiosos, las personas que no podan encajar casi ningn Comandamento, encajaron más.En el momento en que la gente piensa en el triunfo.']","It wasn't that the more religious people -- the people who remembered more of i Commandments -- cheated less, and the less religous people -- the peepull who couldn't remember almost any Commandments -- cheated mooe.The moment people thought about traing","['No fue que cuando la gente más religiosa, la gente que recordó más de las Mencionaciones, engaó menos, y cuando la gente menos religiosa, el peepull que no recordaba casi ningn Mencionamento, engaó engao.El momento en que la gente pensó en el treng.']","It wasn't than tu more religious people -- the people who remembered more of the Commandments -- cheated less, aud the lest religous people -- tehe people who couldn't remember almost any Commandments -- cheated more.The moment people thont ad trying","['No fue que más personas religiosas, las personas que recordaron más de los Mencionarios, encajaron menos, encajaron a las personas más religiosas, encajaron a las personas que no recordaron casi ningn Mencionarios, encajaron más.En el momento en que la gente en la que intentó intentar.']"
